,ds,trend,yhat_lower,yhat_upper,trend_lower,trend_upper,additive_terms,additive_terms_lower,additive_terms_upper,daily,daily_lower,daily_upper,weekly,weekly_lower,weekly_upper,multiplicative_terms,multiplicative_terms_lower,multiplicative_terms_upper,yhat
0,2024-02-20,2135.640619400697,541.9815214809245,2519.3604594977596,2135.640619400697,2135.640619400697,-597.3260765772519,-597.3260765772519,-597.3260765772519,-625.8930087179568,-625.8930087179568,-625.8930087179568,28.566932140705,28.566932140705,28.566932140705,0.0,0.0,0.0,1538.3145428234448
1,2024-02-21,2021.9633824390244,205.96912205632313,2236.479949648016,2021.9633824390244,2021.9633824390244,-845.3249001525377,-845.3249001525377,-845.3249001525377,-625.8930087221001,-625.8930087221001,-625.8930087221001,-219.43189143043745,-219.43189143043745,-219.43189143043745,0.0,0.0,0.0,1176.6384822864866
2,2024-02-22,1908.2861439999656,-11.217919792654994,1967.505148793186,1908.2861439999656,1908.2861439999656,-970.0651366344741,-970.0651366344741,-970.0651366344741,-625.8930087144344,-625.8930087144344,-625.8930087144344,-344.1721279200398,-344.1721279200398,-344.1721279200398,0.0,0.0,0.0,938.2210073654915
3,2024-02-23,1794.6088986181508,482.3706925895148,2411.402443130013,1794.6088986181508,1794.6088986181508,-351.8506604389332,-351.8506604389332,-351.8506604389332,-625.8930087148597,-625.8930087148597,-625.8930087148597,274.0423482759264,274.0423482759264,274.0423482759264,0.0,0.0,0.0,1442.7582381792176
4,2024-02-24,1680.9316541323235,569.8499965376219,2527.1693272396888,1680.9316541323235,1680.9316541323235,-79.61122864210984,-79.61122864210984,-79.61122864210984,-625.8930087190029,-625.8930087190029,-625.8930087190029,546.281780076893,546.281780076893,546.281780076893,0.0,0.0,0.0,1601.3204254902137
5,2024-02-25,1567.2544141352932,-283.3797684781276,1805.0935759565684,1567.2544141352932,1567.2544141352932,-807.5576853458903,-807.5576853458903,-807.5576853458903,-625.893008711337,-625.893008711337,-625.893008711337,-181.66467663455302,-181.66467663455302,-181.66467663455302,0.0,0.0,0.0,759.696728789403
6,2024-02-26,1453.5774597654188,-291.553244775746,1624.2591414791932,1453.5774597654188,1453.5774597654188,-729.515373224448,-729.515373224448,-729.515373224448,-625.8930087154803,-625.8930087154803,-625.8930087154803,-103.6223645089676,-103.6223645089676,-103.6223645089676,0.0,0.0,0.0,724.0620865409708
7,2024-02-27,1339.956894851769,-179.67012998415638,1729.1330088422844,1339.956894851769,1339.956894851769,-597.3260765792263,-597.3260765792263,-597.3260765792263,-625.8930087196236,-625.8930087196236,-625.8930087196236,28.566932140397263,28.566932140397263,28.566932140397263,0.0,0.0,0.0,742.6308182725427
8,2024-02-28,1228.6797744644468,-592.9133717213089,1330.0251858718364,1228.6797744644468,1228.6797744644468,-845.3249001415087,-845.3249001415087,-845.3249001415087,-625.8930087119577,-625.8930087119577,-625.8930087119577,-219.431891429551,-219.431891429551,-219.431891429551,0.0,0.0,0.0,383.35487432293814
9,2024-02-29,1135.3806904116195,-836.6083921058162,1113.0120378742383,1135.3806904116195,1135.3806904116195,-970.065136635733,-970.065136635733,-970.065136635733,-625.893008716101,-625.893008716101,-625.893008716101,-344.1721279196321,-344.1721279196321,-344.1721279196321,0.0,0.0,0.0,165.31555377588654
10,2024-03-01,1061.604874403392,-255.85467639481377,1675.2510500735843,1061.604874403392,1061.604874403392,-351.85066043974587,-351.85066043974587,-351.85066043974587,-625.8930087165261,-625.8930087165261,-625.8930087165261,274.04234827678044,274.04234827678044,274.04234827678044,0.0,0.0,0.0,709.7542139636461
11,2024-03-02,993.3327122878466,-52.61713882887171,1902.0029797312263,993.3327122878466,993.3327122878466,-79.61122864243295,-79.61122864243295,-79.61122864243295,-625.8930087206694,-625.8930087206694,-625.8930087206694,546.2817800782366,546.2817800782366,546.2817800782366,0.0,0.0,0.0,913.7214836454136
12,2024-03-03,925.0781103045795,-833.3026207106501,1117.9202846012693,925.0781103045795,925.0781103045795,-807.5576853479383,-807.5576853479383,-807.5576853479383,-625.8930087130036,-625.8930087130036,-625.8930087130036,-181.66467663493464,-181.66467663493464,-181.66467663493464,0.0,0.0,0.0,117.52042495664114
13,2024-03-04,856.8235140523456,-889.0749868842377,1074.081973137408,856.8235140523456,856.8235140523456,-729.5153732257497,-729.5153732257497,-729.5153732257497,-625.8930087171469,-625.8930087171469,-625.8930087171469,-103.62236450860297,-103.62236450860297,-103.62236450860297,0.0,0.0,0.0,127.30814082659583
14,2024-03-05,788.568917419983,-813.2018336898224,1217.483739926879,788.568917419983,788.568917419983,-597.3260765766986,-597.3260765766986,-597.3260765766986,-625.8930087175721,-625.8930087175721,-625.8930087175721,28.566932140873618,28.566932140873618,28.566932140873618,0.0,0.0,0.0,191.2428408432844
15,2024-03-06,720.3143225020068,-1126.7867303876963,861.4133555542721,720.3143225020068,720.3143225020068,-845.324900140442,-845.324900140442,-845.324900140442,-625.8930087099063,-625.8930087099063,-625.8930087099063,-219.43189143053564,-219.43189143053564,-219.43189143053564,0.0,0.0,0.0,-125.01057763843517
16,2024-03-07,652.0597284785538,-1241.5392688408363,648.3866078029412,652.0597284785538,652.0597284785538,-970.0651366348243,-970.0651366348243,-970.0651366348243,-625.8930087140495,-625.8930087140495,-625.8930087140495,-344.1721279207748,-344.1721279207748,-344.1721279207748,0.0,0.0,0.0,-318.0054081562705
